Pattern,Request Time (seconds),PHP Time (seconds)
W-1-128,0.548289,0.000725
W-1-128,0.560080,0.002069
W-1-128,0.510279,0.002260
W-1-128,0.414448,0.002032
W-1-128,0.194129,0.001986
W-1-128,1.004685,0.001493
W-1-128,0.233495,0.001939
W-1-128,0.194144,0.001778
W-1-128,0.945103,0.001998
W-1-128,0.912418,0.002036
W-1-128,0.368874,0.001809
W-1-128,0.279562,0.001933
W-1-128,0.313326,0.001570
W-1-128,0.426509,0.001949
W-1-128,0.391999,0.001995
W-1-128,0.396435,0.002086
W-1-128,0.287471,0.001844
W-1-128,0.700583,0.001836
W-1-128,0.815012,0.001958
W-1-128,0.242662,0.002062
W-1-128,0.516346,0.002061
W-1-128,0.990807,0.001995
W-1-128,1.024134,0.002049
W-1-128,0.685919,0.001543
W-1-128,0.626446,0.001890
W-1-128,0.324478,0.001586
W-1-128,0.222224,0.002055
W-1-128,0.591041,0.001610
W-1-128,0.760400,0.002067
W-1-128,0.233575,0.002059
W-1-128,0.318614,0.001839
W-1-128,0.368524,0.001936
W-1-128,0.713689,0.001966
W-1-128,0.639095,0.000937
W-1-128,0.559316,0.001953
W-1-128,0.577638,0.001392
W-1-128,0.639362,0.002059
W-1-128,0.470138,0.001998
W-1-128,0.324844,0.001964
W-1-128,0.359091,0.002079
W-1-128,0.396224,0.001196
W-1-128,0.545667,0.002003
W-1-128,0.355503,0.001924
W-1-128,0.317225,0.001971
W-1-128,0.492935,0.001535
W-1-128,0.287159,0.002074
W-1-128,0.897600,0.002003
W-1-128,0.856086,0.001979
W-1-128,0.729747,0.002013
W-1-128,0.292896,0.001402
W-1-128,0.221991,0.002800
W-1-128,0.986772,0.002140
W-1-128,0.385416,0.000916
W-1-128,1.031437,0.001923
W-1-128,0.700200,0.002022
W-1-128,1.058017,0.001992
W-1-128,0.519531,0.001901
W-1-128,0.255810,0.001318
W-1-128,0.258540,0.002123
W-1-128,0.429188,0.001534
W-1-128,0.298165,0.002096
W-1-128,0.633884,0.001991
W-1-128,0.271477,0.002018
W-1-128,0.205296,0.001787
W-1-128,0.222207,0.002709
W-1-128,0.390659,0.001665
W-1-128,0.391849,0.002139
W-1-128,0.757337,0.002314
W-1-128,1.014509,0.001919
W-1-128,0.855745,0.001805
W-1-128,0.244560,0.001935
W-1-128,0.495310,0.001506
W-1-128,0.588609,0.001910
W-1-128,0.515923,0.001980
W-1-128,0.321897,0.001486
W-1-128,0.313357,0.001356
W-1-128,0.308983,0.002425
W-1-128,0.257546,0.001938
W-1-128,0.391128,0.002006
W-1-128,1.083083,0.001682
W-1-128,0.574221,0.001330
W-1-128,0.233708,0.002058
W-1-128,0.508216,0.001945
W-1-128,0.936176,0.001257
W-1-128,0.637748,0.001242
W-1-128,0.276530,0.000743
W-1-128,0.574057,0.001336
W-1-128,0.925359,0.001766
W-1-128,0.604596,0.001948
W-1-128,0.834846,0.001985
W-1-128,0.235939,0.001039
W-1-128,0.444539,0.000935
W-1-128,0.389181,0.001532
W-1-128,0.361967,0.002000
W-1-128,0.221725,0.001197
W-1-128,0.484718,0.001924
W-1-128,0.638957,0.000757
W-1-128,0.202512,0.002089
W-1-128,0.263134,0.001806
W-1-128,0.757429,0.002282
W-1-128,0.994833,0.002003
W-1-128,0.241978,0.002002
W-1-128,0.510018,0.001982
W-1-128,0.274333,0.001958
W-1-128,0.394369,0.001987
W-1-128,0.485181,0.001621
W-1-128,0.356079,0.002064
W-1-128,0.574748,0.001789
W-1-128,0.500353,0.001909
W-1-128,1.106890,0.001986
W-1-128,0.104617,0.002192
W-1-128,0.221883,0.001884
W-1-128,0.404174,0.001978
W-1-128,0.347713,0.001997
W-1-128,0.283675,0.001652
W-1-128,0.531459,0.001922
W-1-128,0.751340,0.001763
W-1-128,0.378335,0.001668
W-1-128,0.111905,0.002158
W-1-128,0.852895,0.001875
W-1-128,0.700671,0.002047
W-1-128,0.567168,0.001934
W-1-128,0.502895,0.000690
W-1-128,0.361979,0.001911
W-1-128,0.557992,0.001993
W-1-128,0.429338,0.002115
W-1-128,0.357552,0.001370
W-1-128,0.934086,0.001782
