Pattern,Request Time (seconds),PHP Time (seconds)
W-1-512,1.447347,0.001925
W-1-512,0.689056,0.002160
W-1-512,1.584679,0.002084
W-1-512,1.925343,0.002001
W-1-512,0.745315,0.000703
W-1-512,0.757385,0.001927
W-1-512,0.966471,0.002014
W-1-512,0.978094,0.001787
W-1-512,1.527920,0.001985
W-1-512,1.082921,0.001940
W-1-512,0.752006,0.002052
W-1-512,1.249943,0.001931
W-1-512,1.680626,0.001306
W-1-512,1.120794,0.001899
W-1-512,2.274431,0.002013
W-1-512,0.611008,0.001928
W-1-512,0.988064,0.001892
W-1-512,2.346566,0.001994
W-1-512,2.162412,0.001771
W-1-512,0.444164,0.000976
W-1-512,0.818257,0.000944
W-1-512,0.881101,0.001924
W-1-512,0.435319,0.001840
W-1-512,0.559189,0.002015
W-1-512,0.452196,0.001966
W-1-512,0.524537,0.002003
W-1-512,1.584335,0.001990
W-1-512,0.917035,0.001209
W-1-512,2.346679,0.002086
W-1-512,0.216635,0.001065
W-1-512,1.198911,0.001323
W-1-512,1.122206,0.000639
W-1-512,0.407538,0.001939
W-1-512,1.398452,0.001987
W-1-512,0.939493,0.001958
W-1-512,0.591867,0.001277
W-1-512,0.669973,0.002374
W-1-512,1.174193,0.001329
W-1-512,0.371134,0.001738
W-1-512,2.167042,0.001988
W-1-512,0.593236,0.001960
W-1-512,0.777272,0.000938
W-1-512,0.789265,0.000923
W-1-512,1.704184,0.002155
W-1-512,0.419274,0.000561
W-1-512,1.917125,0.001950
W-1-512,2.104232,0.001776
W-1-512,1.871614,0.002013
W-1-512,1.708006,0.002012
W-1-512,1.762848,0.002053
W-1-512,0.811827,0.002002
W-1-512,0.567524,0.002050
W-1-512,1.972333,0.001890
W-1-512,1.408136,0.001984
W-1-512,0.397647,0.001964
W-1-512,0.594402,0.001999
W-1-512,1.980469,0.001517
W-1-512,0.554176,0.001940
W-1-512,0.537118,0.001953
W-1-512,0.323615,0.001432
W-1-512,0.456779,0.002046
W-1-512,0.356485,0.002064
W-1-512,1.402229,0.002086
W-1-512,0.644814,0.001998
W-1-512,1.038796,0.001943
W-1-512,0.503776,0.001954
W-1-512,0.704356,0.000909
W-1-512,0.421457,0.001919
W-1-512,0.685101,0.001427
W-1-512,1.948548,0.002087
W-1-512,0.636945,0.001961
W-1-512,1.925527,0.002021
W-1-512,1.396747,0.001778
W-1-512,0.780770,0.001983
W-1-512,0.992572,0.002127
W-1-512,0.960402,0.001995
W-1-512,0.673963,0.001011
W-1-512,0.983975,0.001704
W-1-512,1.731049,0.002017
W-1-512,1.475913,0.002088
W-1-512,0.694165,0.001917
W-1-512,1.775249,0.002007
W-1-512,0.553918,0.001733
W-1-512,1.973178,0.001449
W-1-512,1.329187,0.002059
W-1-512,0.411924,0.002178
W-1-512,0.970831,0.002322
W-1-512,1.092029,0.001730
W-1-512,0.397800,0.001337
W-1-512,0.514784,0.001935
W-1-512,1.051080,0.002007
W-1-512,2.062836,0.002110
W-1-512,1.594835,0.001887
W-1-512,2.005586,0.001991
W-1-512,0.370161,0.002094
W-1-512,0.651244,0.002130
W-1-512,0.751103,0.001970
W-1-512,1.589694,0.001985
W-1-512,1.605396,0.001958
W-1-512,1.710472,0.002392
W-1-512,2.137700,0.002349
W-1-512,0.539205,0.002228
W-1-512,1.175147,0.001968
W-1-512,0.638823,0.002031
W-1-512,0.839177,0.000922
W-1-512,0.943604,0.001892
W-1-512,0.888622,0.000959
W-1-512,0.584593,0.001981
W-1-512,1.657878,0.000957
W-1-512,1.760804,0.002130
W-1-512,0.247749,0.001275
W-1-512,0.706684,0.002096
W-1-512,1.832513,0.002156
W-1-512,0.832999,0.002000
W-1-512,0.586265,0.001987
W-1-512,0.224106,0.001946
W-1-512,0.245453,0.002010
W-1-512,1.122182,0.000927
W-1-512,0.986744,0.001981
W-1-512,1.022289,0.001885
W-1-512,1.208667,0.001999
W-1-512,0.764785,0.001874
W-1-512,0.846886,0.000456
W-1-512,1.031095,0.002109
W-1-512,1.846307,0.001975
W-1-512,1.474842,0.002176
W-1-512,1.516018,0.001030
W-1-512,0.815005,0.002022
W-1-512,0.513590,0.001238
W-1-512,0.898802,0.002026
W-1-512,1.155903,0.001923
W-1-512,1.096329,0.000794
W-1-512,1.300995,0.001948
W-1-512,0.938334,0.002070
W-1-512,2.162596,0.002004
W-1-512,0.575177,0.002024
W-1-512,1.177835,0.001983
W-1-512,0.623829,0.002033
