Pattern,Average Request Time (seconds),Average PHP Time (seconds)
W-1-4,0.039224,0.002202
W-1-8,0.047211,0.001936
W-1-16,0.070679,0.001937
W-1-32,0.081094,0.001861
W-1-64,0.376334,0.001859
W-1-128,0.509442,0.001822
W-1-256,0.854046,0.005740
W-1-512,1.083556,0.001839
