Pattern,Request Time (seconds),PHP Time (seconds)
W-1-64,0.290313,0.001776
W-1-64,0.364414,0.002084
W-1-64,0.339089,0.000912
W-1-64,0.546215,0.002076
W-1-64,0.458742,0.001977
W-1-64,0.283792,0.002116
W-1-64,0.526411,0.002066
W-1-64,0.267455,0.002098
W-1-64,0.346706,0.002048
W-1-64,0.473064,0.002043
W-1-64,0.344633,0.002030
W-1-64,0.520559,0.001961
W-1-64,0.298938,0.002103
W-1-64,0.298409,0.002052
W-1-64,0.284403,0.002034
W-1-64,0.512666,0.001460
W-1-64,0.525967,0.002046
W-1-64,0.512215,0.001941
W-1-64,0.278217,0.001410
W-1-64,0.258190,0.002093
W-1-64,0.419338,0.001207
W-1-64,0.258161,0.001414
W-1-64,0.325555,0.002066
W-1-64,0.364226,0.002055
W-1-64,0.214452,0.001156
W-1-64,0.338800,0.002106
W-1-64,0.538892,0.001946
W-1-64,0.284137,0.002071
W-1-64,0.373454,0.002022
W-1-64,0.240474,0.002030
W-1-64,0.278146,0.001881
W-1-64,0.451847,0.002156
W-1-64,0.222412,0.002091
W-1-64,0.437146,0.001037
W-1-64,0.545952,0.001081
W-1-64,0.298814,0.001904
W-1-64,0.258238,0.000860
W-1-64,0.243835,0.001993
W-1-64,0.230737,0.002070
W-1-64,0.443232,0.001932
W-1-64,0.545809,0.002035
W-1-64,0.520535,0.002027
W-1-64,0.446870,0.002001
W-1-64,0.335773,0.001512
W-1-64,0.382891,0.001347
W-1-64,0.267106,0.001904
W-1-64,0.446806,0.002105
W-1-64,0.333752,0.001991
W-1-64,0.264713,0.002289
W-1-64,0.573923,0.001995
W-1-64,0.425054,0.001939
W-1-64,0.221294,0.002129
W-1-64,0.244924,0.002072
W-1-64,0.334195,0.002021
W-1-64,0.436964,0.001629
W-1-64,0.367024,0.002227
W-1-64,0.366707,0.002082
W-1-64,0.473386,0.001055
W-1-64,0.298500,0.000893
W-1-64,0.512477,0.002136
W-1-64,0.525685,0.002022
W-1-64,0.419713,0.002024
W-1-64,0.558805,0.002034
W-1-64,0.284244,0.002104
