Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.854750,1.108750,0.989187,0.804344,1.742266,1.422438,1.748453,1.065920
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.910250,3.753500,6.828563,0.681906,1.270391,1.018742,0.817496,4.081652
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.280000,0.300625,0.297563,0.269125,0.348469,0.382336,0.508016,0.720816
"[distributeJob] UPDATE_MATRIX_STATUS /",0.303000,0.253875,2.676188,0.249438,0.285344,0.278312,0.270953,2.417914
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.226000,0.313000,0.195000,0.190000,0.211000,0.165000,0.234000,0.365000
"Distribute job completed.",5.555750,8.717125,40.668062,18.298937,11.771547,37.412617,19.427289,20.295500
"Clean buffer completed.",0.001750,0.001375,0.001250,0.001594,0.001703,0.001297,0.001418,0.001469
"Send headers completed.",0.220500,0.293375,0.490625,0.255500,0.233906,0.220156,0.204211,0.208824
"Open file completed.",0.018500,0.015750,0.033938,0.020844,0.016313,0.024219,0.015883,0.015893
"Output file completed.",0.672000,0.661375,36.639812,7.497187,3.396500,5.838219,3.368602,4.264139
"Program completed. Total",10.476250,13.048125,81.061500,28.617438,18.508469,46.614719,26.087465,27.692635
