Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.224500,0.171750,0.224313,0.236406,0.218703,0.227758,0.238871,0.235709
"First request sent",0.024250,0.023500,0.030313,0.029938,0.035812,0.033820,0.033621,0.032037
"Time from request to first response",0.029750,0.021125,2.954875,0.021375,0.029516,0.030164,0.030223,0.028891
"Response received",813.753000,782.402125,1103.237562,2403.722344,6698.100703,9466.268438,18328.405875,26312.785967
"File saved",0.457750,0.493000,0.452938,0.463469,0.440516,0.446789,0.371926,0.402465
"Command executed",958.667750,1152.637000,1409.599625,1844.996219,2847.690469,4875.589828,12088.872195,54711.856756
"Second connection established",0.251500,0.232500,0.264813,0.199656,0.219156,0.229594,0.213539,0.219199
"Second request sent",0.019250,0.025125,0.021750,0.025656,0.026000,0.025266,0.025746,0.018871
"Result uploaded",0.044750,0.053250,0.038688,0.055219,0.055516,0.052273,0.054438,0.034010
"Process completed successfully. Total execution time",2548.606500,2708.707125,3767.538438,6850.816062,16766.136484,27845.419719,55918.985691,138890.075277
