Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.795750,0.915750,0.991563,0.802813,1.269766,1.246680,1.131883,1.009906
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.672000,1.347375,3.023875,1.076625,1.282422,2.905617,0.669664,5.342141
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.279000,0.313625,0.292125,0.270438,0.338391,0.389320,0.481645,0.941824
"[distributeJob] UPDATE_MATRIX_STATUS /",0.304250,0.289125,0.261250,0.251781,0.272406,0.880094,0.336652,3.164418
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.274000,0.206000,0.293000,0.182000,0.192000,0.213000,0.197000,0.281000
"Distribute job completed.",119.856000,88.477250,16.124438,10.169406,9.501000,21.620758,23.661805,28.107512
"Clean buffer completed.",0.001750,0.002000,0.001375,0.001281,0.001359,0.001391,0.001289,0.001391
"Send headers completed.",0.335000,0.421250,0.209125,0.278656,0.198031,0.233156,0.226305,0.201607
"Open file completed.",0.029000,0.034625,0.018813,0.019219,0.015969,0.017453,0.022168,0.015834
"Output file completed.",1.060000,36.058625,0.780062,3.548812,2.661641,1.354336,4.995832,3.026674
"Program completed. Total",124.853000,128.409625,20.346625,16.929219,15.429594,26.302031,31.932734,34.275641
