Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",,0.656000,0.664625,0.231250,0.737438,3.653891,0.537438,0.319119
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",,1.537375,0.331562,0.303750,0.361437,0.358516,0.354293,0.400287
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",,0.196625,0.184062,0.203594,0.216563,0.216156,0.587801,0.240994
"getClientID completed.",,2.590000,1.365687,0.920219,1.528500,4.439461,1.686211,1.159678
"Read file completed.",,0.021000,0.011813,0.011938,0.018250,0.012805,0.012215,0.011875
"[updateStatus] MySQL connection established.",,0.112250,0.115562,0.123188,0.140875,0.149813,0.157707,0.143018
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",,1.246625,0.335188,0.942625,0.949688,1.916375,102.934598,1.119619
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",,0.251500,0.216688,0.237313,0.238656,0.248789,5.183008,0.459281
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",,0.195250,0.165312,0.169750,0.173234,0.165844,0.181832,0.180395
"updateStatus completed.",,75.462625,42.467125,179.617656,121.929859,130.723102,235.960500,56.136365
"Write file completed.",,75.809125,42.787938,180.043344,123.352250,133.087820,251.666387,63.144813
"[getGroupStatus] MySQL connection established.",,0.077125,0.085563,0.112594,0.091016,0.098680,0.093246,0.075693
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",,0.283125,0.255125,0.326344,0.312703,0.298156,0.309969,0.248852
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",,0.232250,0.240250,0.354719,0.406094,0.559070,1.102090,1.152178
"getGroupStatus completed.",,0.795000,0.747313,1.019406,1.106734,1.256625,1.722469,1.640211
"Merge request completed.",,3.951000,2.938000,21.379800,7.430077,7.420000,11.468000,18.171000
"Majority request completed.",,1.752000,2.766000,1.687000,1.340000,2.023000,1.845000,1.995000
"Program completed. Total",,82.888500,48.082625,201.422156,130.320156,141.665812,257.883523,68.564328
