Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.296750,0.213500,0.241625,0.225594,0.198828,0.222078,0.228922,0.230766
"First request sent",0.024750,0.027375,0.026000,0.027875,0.033234,0.034109,0.034152,0.032047
"Time from request to first response",1.980750,0.029625,0.025438,0.027469,0.029000,0.030750,0.030816,0.029449
"Response received",167.960750,591.636000,1264.051187,2680.222031,4568.010016,9570.245672,21244.127488,26452.059361
"File saved",0.165000,0.386250,0.481187,0.488531,0.471531,0.440383,0.382484,0.403158
"Command executed",2.744500,1126.308750,1330.965750,1969.139187,2425.360594,4324.873430,12488.428230,56425.718812
"Second connection established",0.265750,0.198000,0.223313,0.276063,0.233672,0.223008,0.219180,0.235893
"Second request sent",0.025000,0.020375,0.023563,0.025156,0.026406,0.026500,0.026113,0.015068
"Result uploaded",0.032250,0.042375,0.050438,0.050313,0.055438,0.055055,0.052934,0.028805
"Process completed successfully. Total execution time",734.145750,2331.758000,3764.640563,6962.928375,11426.202313,23098.138891,60988.775969,141221.423988
