Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.812000,0.858750,0.849625,0.855219,1.964672,1.432211,1.358887,1.018412
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.805750,1.617125,2.352438,1.658406,1.683406,2.099812,4.266977,5.358383
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",,0.310875,0.277562,0.292656,0.320500,0.382961,0.490508,1.318764
"[distributeJob] UPDATE_MATRIX_STATUS /",0.374000,0.276375,0.243812,0.245594,0.264453,0.650141,2.239910,1.572754
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.236000,0.281000,0.379000,0.112000,0.256000,0.236000,0.224000,0.286000
"Distribute job completed.",11.446000,5.866875,23.062813,11.874875,9.322391,11.299750,19.699121,25.726770
"Clean buffer completed.",0.002000,0.001625,0.001563,0.001500,0.001266,0.001297,0.001367,0.001316
"Send headers completed.",0.343750,0.279875,0.307437,0.305719,0.281391,0.222484,0.214418,0.191730
"Open file completed.",0.028750,0.025000,0.020688,0.020781,0.025391,0.017000,0.015813,0.015375
"Output file completed.",0.207750,0.752375,4.751875,11.582531,3.313672,9.108352,2.522137,2.961342
"Program completed. Total",14.843750,9.974625,31.172312,26.869813,15.857078,23.698703,25.469875,31.938627
