Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.686750,0.986250,0.823437,0.891312,1.853203,1.361719,1.276875,1.026615
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",149.349000,1.783250,3.718062,4.630469,2.511328,1.074797,0.753707,0.960996
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.327000,0.296625,0.313563,0.290594,0.290953,0.364961,0.473961,0.689482
"[distributeJob] UPDATE_MATRIX_STATUS /",50.780000,0.292750,0.248188,0.248375,1.591500,0.262680,0.452344,0.311730
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.434000,0.198000,0.288000,0.193000,0.208000,0.236000,0.298000,0.240000
"Distribute job completed.",442.997250,14.734750,14.401187,17.511312,18.656609,13.660992,46.517418,14.392832
"Clean buffer completed.",0.001250,0.001250,0.001875,0.001500,0.001422,0.001320,0.001363,0.001389
"Send headers completed.",0.229000,0.192875,0.315750,0.312406,0.257594,0.224234,0.222145,0.191250
"Open file completed.",0.021000,0.016125,0.026750,0.023938,0.018656,0.017055,0.022852,0.014631
"Output file completed.",0.862000,0.774750,11.361688,17.971594,6.270250,2.067492,5.273828,3.101635
"Program completed. Total",447.102750,18.739500,29.279250,38.932156,28.085844,18.929977,54.969160,20.533107
