Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.278000,0.193125,0.223875,0.216000,0.223078,0.227109,0.237133,0.233303
"First request sent",0.025000,0.025625,0.031438,0.031719,0.034125,0.034500,0.033230,0.031395
"Time from request to first response",437.439000,5.449000,0.024688,0.028375,0.030266,0.031109,0.029281,0.028588
"Response received",926.140750,839.336875,1116.577312,1985.797281,4558.492609,9108.387891,19522.582500,25672.603877
"File saved",0.446750,0.469125,0.470188,0.503000,0.459844,0.445578,0.374332,0.376424
"Command executed",1162.461000,1273.605250,1343.662625,1628.675156,2930.934453,4238.911500,12953.068578,52687.460852
"Second connection established",0.242500,0.232000,0.221125,0.241188,0.230531,0.221992,0.218223,0.223961
"Second request sent",0.020750,0.024750,0.022750,0.024938,0.026969,0.025734,0.024996,0.016670
"Result uploaded",0.048250,0.053250,0.046125,0.052625,0.054688,0.051945,0.055039,0.027732
"Process completed successfully. Total execution time",2545.634500,2714.383375,3627.534875,5867.673719,12501.500781,25664.835789,58602.772715,135697.175230
