Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.621750,0.716125,0.723125,0.250625,0.700656,1.499133,0.480250,0.314705
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.325750,1.459625,0.347125,0.343531,0.359687,0.347078,0.376473,0.413648
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.204750,0.202625,0.210813,0.218656,0.217391,15.244484,0.240453,0.234297
"getClientID completed.",1.292000,2.561125,1.471125,1.001250,1.497531,17.305102,1.300715,1.159869
"Read file completed.",0.008750,0.009875,0.020375,0.011813,0.012547,0.012047,0.012910,0.013125
"[updateStatus] MySQL connection established.",0.135750,0.120875,0.144437,0.138969,0.127234,0.156852,0.134426,0.144920
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.221250,0.351375,0.657812,3.086562,1.422375,224.074992,1.812937,0.997387
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.214500,0.221500,0.260563,0.258938,0.256203,5.650937,0.606230,0.276801
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.219750,0.178250,0.179563,0.172125,0.174687,0.579203,0.173641,0.181344
"updateStatus completed.",22.002250,25.417875,31.176562,98.820938,88.737812,324.336227,107.449410,65.906982
"Write file completed.",22.365750,25.710250,31.511563,99.183469,89.148422,340.729797,112.527547,75.324484
"[getGroupStatus] MySQL connection established.",0.065250,0.073000,0.104625,0.099250,0.096297,0.125031,0.095238,0.076350
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.247750,0.248750,0.269750,0.317406,0.277297,0.384922,0.295941,0.258449
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.207500,0.210250,0.249250,0.293531,0.364016,15.529992,0.886988,1.190223
"getGroupStatus completed.",0.654000,0.648750,0.769250,0.900344,0.911188,16.358133,1.478258,1.694373
"Merge request completed.",4.515000,4.307667,4.824000,4.776000,3.191000,4.167000,8.548000,10.601000
"Majority request completed.",2.941000,1.711000,2.653000,1.393000,1.942000,2.048000,1.804000,3.170000
"Program completed. Total",32.003500,33.582875,37.072125,105.965688,94.450156,377.313609,118.086074,80.817070
